record_id,Latitude,Longitude,Crop Sowing Time,Crop Harvesting Time,Yield Level (t/ha),season_days,sow_year,imd_STATE,imd_District,imd_Dist_Code,imd_TEHSIL,imd_lat,imd_lon,imd_distance_km,imd_year,imd_year_annual_rainfall_mm,imd_year_annual_tmin_mean,imd_year_annual_tmax_mean,imd_year_annual_pr_std,imd_year_annual_tmin_std,imd_year_annual_tmax_std,imd_clim_annual_rainfall_mm,imd_clim_annual_tmin_mean,imd_clim_annual_tmax_mean,imd_clim_annual_pr_std,imd_clim_annual_tmin_std,imd_clim_annual_tmax_std,imd_year_yield_t_ha,imd_climate_yield_t_ha,imd_year_yield_error_t_ha,imd_climate_yield_error_t_ha
11,26.68334,84.87794444,2015-07-22,2015-11-28,4.5,129.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,42.75,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.36,0.31
12,26.66935,84.87777778,2015-07-28,2015-11-30,4.8,125.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,42.02,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.06,0.61
13,26.66935,84.87658333,2015-07-12,2015-11-22,4.4,133.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,41.92,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.46,0.21
14,26.66933,84.87466667,2015-07-15,2015-11-20,4.8,128.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,41.74,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.06,0.61
15,26.68339,84.87683333,2015-07-20,2015-11-25,4.5,128.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,42.66,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.36,0.31
16,26.68661,84.87736111,2015-07-13,2015-11-18,4.2,128.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,42.88,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.66,0.01
17,26.68817,84.87847222,2015-07-17,2015-11-23,4.5,129.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,43.06,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.36,0.31
18,26.69597,84.8775,2015-07-17,2015-11-22,4.2,128.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,43.4,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.66,0.01
19,26.78604,84.75658333,2015-07-16,2015-11-18,5.0,125.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,40.77,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,0.14,0.81
20,26.78588,84.75727778,2015-07-20,2015-11-25,4.8,128.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,40.8,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.06,0.61
21,26.78572,84.75813889,2015-07-25,2015-11-30,5.2,128.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,40.84,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,0.34,1.01
22,26.78582,84.75919444,2015-07-15,2015-11-20,5.0,128.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,40.91,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,0.14,0.81
23,26.78567,84.76172222,2015-07-15,2015-11-20,5.4,128.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,41.06,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,0.54,1.21
24,26.78584,84.76069444,2015-07-17,2015-11-22,5.4,128.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,41.01,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,0.54,1.21
25,26.78598,84.76119444,2015-07-19,2015-11-24,5.2,128.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,41.05,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,0.34,1.01
26,26.78598,84.76172222,2015-07-22,2015-11-27,5.0,128.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,41.08,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,0.14,0.81
27,26.7861,84.76266667,2015-07-29,2015-12-04,5.4,128.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,41.15,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,0.54,1.21
28,26.80016,84.76130556,2015-07-26,2015-12-01,5.0,128.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,42.29,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,0.14,0.81
29,26.33556,84.34505556,2015-07-25,2015-11-18,4.5,116.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,23.93,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.36,0.31
30,26.3356,84.3425,2015-07-20,2015-11-13,4.2,116.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,24.09,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.66,0.01
31,26.33565,84.33980556,2015-07-18,2015-11-11,4.8,116.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,24.26,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.06,0.61
32,26.33548,84.34275,2015-07-23,2015-11-16,4.5,116.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,24.08,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.36,0.31
33,26.33598,84.3495,2015-07-23,2015-11-16,4.6,116.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,23.61,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.26,0.41
34,26.33545,84.34380556,2015-07-27,2015-11-20,4.8,116.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,24.02,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.06,0.61
35,26.17803,85.435525,2015-08-07,2015-12-11,5.6,126.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,36.37,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,0.53,0.72
36,26.17836,85.43541111,2015-08-07,2015-12-11,6.0,126.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,36.34,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,0.93,1.12
37,26.17972,85.43528333,2015-07-12,2015-11-18,5.2,129.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,36.19,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,0.13,0.32
38,26.17944,85.43542222,2015-10-07,2015-11-18,6.2,42.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,36.22,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,1.13,1.32
39,26.18033,85.43548333,2015-07-15,2015-11-20,5.5,128.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,36.12,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,0.43,0.62
40,26.17917,85.43577778,2015-08-07,2015-12-11,5.8,126.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,36.24,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,0.73,0.92
41,26.18044,85.43539722,2015-07-07,2015-11-15,6.2,131.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,36.11,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,1.13,1.32
42,26.18128,85.43520833,2015-07-07,2015-11-18,5.7,134.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,36.02,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,0.63,0.82
43,26.17783,85.43586944,2015-07-12,2015-11-16,5.9,127.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,36.39,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,0.83,1.02
44,26.17989,85.4359,2015-07-02,2015-12-11,6.2,162.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,36.16,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,1.13,1.32
45,26.00614,85.07058333,2015-07-10,2015-11-15,4.7,128.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,69.64,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,-0.37,-0.18
46,26.00867,85.07041667,2015-05-07,2015-11-20,5.3,197.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,69.43,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,0.23,0.42
47,25.98535,85.05205278,2015-07-08,2015-12-11,5.0,156.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,70.18,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.78,0.02
48,25.98538,85.05195278,2015-07-12,2015-11-18,4.8,129.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,70.19,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.98,-0.18
49,25.9855,85.05172778,2015-06-25,2015-11-10,5.6,138.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,70.22,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.18,0.62
50,25.98541,85.051875,2015-07-10,2015-11-16,5.5,129.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,70.2,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.28,0.52
51,25.98508,85.05218889,2015-07-10,2015-12-11,5.0,154.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,70.15,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.78,0.02
52,25.98525,85.06175,2015-07-10,2015-11-16,4.7,129.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,69.56,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-1.08,-0.28
53,25.98506,85.0645,2015-07-08,2015-11-14,4.5,129.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,69.37,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-1.28,-0.48
54,26.01181,85.07416667,2015-07-12,2015-11-16,5.5,127.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,68.92,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,0.43,0.62
55,26.01556,85.07555556,2015-07-08,2015-11-11,5.8,126.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,68.51,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,0.73,0.92
56,26.00233,85.07944444,2015-07-10,2015-11-15,4.7,128.0,2015,BIHAR,SITAMARHI,D124,RUNISAIDPUR,26.5,85.5,69.44,2015,696.3122,20.2843,31.4373,6.2555,1.4683,1.9596,1090.5922,20.0917,31.1134,6.255520821917808,1.4683260273972605,1.959558904109589,5.07,4.88,-0.37,-0.18
57,25.89108,85.68177778,2015-07-15,2015-11-25,4.5,133.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,47.15,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-1.28,-0.48
58,25.88975,85.68297222,2015-07-20,2015-11-30,5.0,133.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,47.06,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.78,0.02
59,25.89025,85.668425,2015-07-10,2015-10-25,5.3,107.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,46.56,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.48,0.32
60,25.89136,85.66843889,2015-07-05,2015-11-15,5.2,133.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,46.68,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.58,0.22
61,25.89094,85.67933333,2015-07-08,2015-11-15,6.2,130.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,47.04,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,0.42,1.22
62,25.89047,85.67041667,2015-07-12,2015-11-19,5.6,130.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,46.66,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.18,0.62
63,25.91937,85.67944444,2015-07-18,2015-11-10,6.1,115.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,49.98,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,0.32,1.12
64,25.91939,85.68002778,2015-07-08,2015-12-11,5.7,156.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,50.0,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.08,0.72
65,25.91883,85.67486111,2015-07-12,2015-11-25,5.3,136.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,49.76,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.48,0.32
66,25.91944,85.68111111,2015-07-15,2015-11-05,5.6,113.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,50.04,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.18,0.62
67,25.71564,85.88569444,2015-07-12,2015-11-15,4.2,126.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,45.5,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-1.58,-0.78
68,25.71631,85.88563611,2015-07-17,2015-11-20,4.6,126.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,45.54,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-1.18,-0.38
69,25.70181,85.8855,2015-07-22,2015-11-25,4.8,126.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,44.7,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.98,-0.18
70,25.70179,85.88571111,2015-07-19,2015-11-22,4.8,126.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,44.72,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.98,-0.18
71,25.70192,85.88547778,2015-07-12,2015-11-15,4.5,126.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,44.7,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-1.28,-0.48
72,25.70192,85.88575833,2015-07-12,2015-11-15,5.0,126.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,44.73,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.78,0.02
73,25.70181,85.88597778,2015-07-14,2015-11-17,4.8,126.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,44.74,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.98,-0.18
74,25.70192,85.88610833,2015-07-12,2015-11-15,3.8,126.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,44.76,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-1.98,-1.18
75,25.71583,85.90477778,2015-07-17,2015-11-20,4.2,126.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,47.15,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-1.58,-0.78
76,25.71333,85.90241667,2015-07-15,2015-11-05,4.8,113.0,2015,BIHAR,VAISHALI,D127,RAGHOPUR,25.5,85.5,46.81,2015,819.3968,20.1522,31.9204,6.071,1.53,2.0302,1150.4442,19.637,31.4515,6.071035616438356,1.5299501369863013,2.030226575342466,5.78,4.98,-0.98,-0.18
77,26.07806,84.83575556,2015-06-20,2015-11-15,4.8,148.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,57.63,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.06,0.61
78,26.07925,84.845,2015-06-25,2015-11-22,4.6,150.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,58.07,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,-0.26,0.41
79,26.07792,84.84175,2015-07-10,2015-11-17,5.1,130.0,2015,BIHAR,GOPALGANJ,D101,BAIKUNTHPUR,26.5,84.5,58.0,2015,888.0304,19.9209,31.535,7.1725,1.5836,2.1265,1140.8409,19.4471,31.2018,7.172523013698631,1.5835780821917804,2.1265490410958905,4.86,4.19,0.24,0.91
