Period,PRECTOTCORR,T2M
2020-03,2.1,21.23
2020-04,0.62,28.32
2020-05,1.68,33.64
2020-06,1.28,35.01
2020-07,6.86,32.92
2020-08,5.35,30.11
2020-09,0.48,30.31
2020-10,0.0,26.24
2020-11,0.18,19.59
2020-12,0.06,15.35
2021-01,1.26,13.23
2021-02,0.13,18.74
2021-03,0.07,25.93
2021-04,0.12,29.95
2021-05,3.57,31.91
2021-06,3.01,33.3
2021-07,10.8,32.05
2021-08,4.58,28.91
2021-09,6.58,27.23
2021-10,3.83,24.13
2021-11,0.0,17.55
2021-12,0.12,13.49
2022-01,2.43,11.98
2022-02,0.99,15.12
2022-03,0.0,24.71
2022-04,0.0,32.77
2022-05,1.34,35.01
2022-06,1.74,35.89
2022-07,4.72,32.66
2022-08,1.9,31.09
2022-09,8.57,29.7
2022-10,4.27,23.58
2022-11,0.0,18.49
2022-12,0.0,14.31
2023-01,0.87,12.4
2023-02,0.0,18.7
2023-03,2.21,23.56
2023-04,0.62,27.79
2023-05,2.23,30.96
2023-06,3.08,33.69
2023-07,9.56,30.5
2023-08,5.31,29.4
2023-09,4.68,28.3
2023-10,0.29,24.76
2023-11,0.25,20.54
2023-12,0.05,15.9
2024-01,0.08,12.72
2024-02,0.76,16.45
2024-03,0.62,22.91
2024-04,0.13,30.57
2024-05,0.02,36.12
2024-06,2.49,37.7
2024-07,7.03,31.74
2024-08,6.23,28.72
2024-09,9.26,27.98
2024-10,0.01,25.44
2024-11,0.0,20.97
2024-12,0.52,14.71
2025-01,0.14,14.06
2025-02,0.31,18.4
2025-03,0.17,24.04
2025-04,0.13,31.42
2025-05,2.35,32.92
2025-06,3.88,33.99
2025-07,5.97,30.31
2025-08,11.28,28.6
2025-09,5.65,27.35
2025-10,1.09,23.86
2025-11,0.0,17.94
2025-12,0.0,14.93
1996-annual,2.51,25.13
1997-annual,1.65,25.38
1998-annual,2.27,25.2
1999-annual,1.29,26.75
2000-annual,1.75,26.03
2001-annual,1.4,26.34
2002-annual,1.63,26.72
2003-annual,2.81,25.09
2004-annual,1.72,26.07
2005-annual,1.97,25.46
2006-annual,1.78,26.36
2007-annual,2.22,25.73
2008-annual,2.53,24.98
2009-annual,1.91,26.2
2010-annual,2.8,25.88
2011-annual,2.21,24.75
2012-annual,1.84,25.2
2013-annual,3.2,24.34
2014-annual,1.62,25.44
2015-annual,2.11,25.34
2016-annual,1.85,26.27
2017-annual,1.84,25.82
2018-annual,2.32,25.45
2019-annual,1.69,25.47
2020-annual,1.7,25.12
2021-annual,2.87,24.73
2022-annual,2.17,25.49
2023-annual,2.45,24.73
2024-annual,2.26,25.51
2025-annual,2.6,24.84

STAT,PRECTOTCORR,T2M
mean,2.09,25.5
median,0.73,26.81
